City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Tabou,CI,4.423,-7.3528,79.11,90,30,9.35,scattered clouds
81,Lamar,US,33.6668,-95.5836,42.01,93,90,12.66,mist
82,Umm Lajj,SA,25.0213,37.2685,69.26,46,0,14.43,clear sky
83,San Patricio,US,28.017,-97.5169,75.2,46,1,11.5,clear sky
84,Paragominas,BR,-2.9667,-47.4833,77.38,73,73,3.47,broken clouds
85,Touros,BR,-5.1989,-35.4608,78.8,78,40,4.61,scattered clouds
86,New Norfolk,AU,-42.7826,147.0587,64.99,56,63,4.0,broken clouds
87,Hobart,AU,-42.8794,147.3294,64.99,59,75,13.8,broken clouds
88,Matay,EG,28.419,30.7792,54.97,76,0,7.2,clear sky
89,Khuzhir,RU,53.1939,107.3397,9.3,91,100,4.68,overcast clouds
90,Port Blair,IN,11.6667,92.75,77.76,78,11,8.32,few clouds
91,Port-Gentil,GA,-0.7193,8.7815,80.6,89,40,6.91,scattered clouds
92,Victoria,HK,22.2855,114.1577,66.0,62,0,7.47,clear sky
93,Borogontsy,RU,62.6683,131.1683,-33.74,81,100,3.11,overcast clouds
94,Charlestown,AU,-32.95,151.6667,82.0,73,21,8.05,few clouds
95,Geraldton,AU,-28.7667,114.6,69.8,83,75,25.32,light rain
96,Ambilobe,MG,-13.2,49.05,73.11,94,99,2.51,overcast clouds
97,Mar Del Plata,AR,-38.0023,-57.5575,64.0,77,20,12.66,few clouds
98,Znamenskoye,RU,57.1281,73.8282,32.5,96,100,15.88,overcast clouds
99,Brunswick,US,41.2381,-81.8418,19.99,49,75,8.05,broken clouds
100,Port Moresby,PG,-9.4431,147.1797,82.4,78,40,11.5,haze
101,Pointe Michel,DM,15.25,-61.3833,77.95,75,60,16.8,broken clouds
102,Kununurra,AU,-15.7667,128.7333,80.6,94,100,4.61,overcast clouds
103,Provideniya,RU,64.3833,-173.3,1.72,89,28,3.65,scattered clouds
104,Luderitz,NA,-26.6481,15.1594,69.71,60,0,21.65,clear sky
105,Fuyu,CN,45.1833,124.8167,-4.61,89,47,6.55,scattered clouds
106,Wajima,JP,37.4,136.9,41.0,93,75,6.91,light rain
107,Esperance,AU,-33.8667,121.9,59.0,100,90,13.8,light rain
108,Yellowknife,CA,62.456,-114.3525,-36.4,67,1,3.44,mist
109,Airai,TL,-8.9266,125.4092,68.04,87,94,3.42,overcast clouds
110,Vanersborg,SE,58.3807,12.3234,10.4,85,40,4.61,scattered clouds
111,Sao Filipe,CV,14.8961,-24.4956,69.66,74,38,14.81,scattered clouds
112,Tarauaca,BR,-8.1614,-70.7656,75.63,94,94,1.68,light rain
113,Hasaki,JP,35.7333,140.8333,44.6,61,20,6.91,few clouds
114,Oussouye,SN,12.485,-16.5469,68.0,88,0,2.3,clear sky
115,Clyde River,CA,70.4692,-68.5914,-11.2,84,20,2.3,few clouds
116,Mosquera,CO,4.7059,-74.2302,60.8,82,40,5.75,scattered clouds
117,Aljezur,PT,37.3191,-8.8033,52.0,37,99,5.01,overcast clouds
118,Egvekinot,RU,66.3167,-179.1667,-4.2,79,5,8.43,clear sky
119,Ponta Do Sol,PT,32.6667,-17.1,54.0,67,11,5.77,few clouds
120,Husavik,IS,66.0449,-17.3389,33.8,69,90,2.3,overcast clouds
121,Muros,ES,42.7762,-9.0603,39.0,92,34,1.01,scattered clouds
122,Torbay,CA,47.6666,-52.7314,44.01,100,90,19.57,heavy intensity rain
123,Farafangana,MG,-22.8167,47.8333,78.58,86,100,10.33,moderate rain
124,Talnakh,RU,69.4865,88.3972,-29.67,73,0,2.3,clear sky
125,Alofi,NU,-19.0595,-169.9187,86.0,74,100,11.5,moderate rain
126,Saskylakh,RU,71.9167,114.0833,-41.35,78,42,7.58,scattered clouds
127,Taoudenni,ML,22.6783,-3.9836,62.01,31,53,10.92,broken clouds
128,East London,ZA,-33.0153,27.9116,74.75,91,10,10.83,clear sky
129,Plavinas,LV,56.6178,25.7255,1.45,93,2,2.86,clear sky
130,Parkes,AU,-33.1333,148.1833,74.05,46,43,8.68,scattered clouds
131,Nikolskoye,RU,59.7035,30.7861,8.6,78,20,15.66,light snow
132,Klaksvik,FO,62.2266,-6.589,35.6,60,40,19.57,scattered clouds
133,Henties Bay,NA,-22.116,14.2845,64.0,89,33,1.99,scattered clouds
134,Boende,CD,-0.2167,20.8667,74.53,79,50,1.61,scattered clouds
135,Raudeberg,NO,61.9875,5.1352,24.01,74,0,9.22,clear sky
